alpha_deg,cx,cz
154,-0.00437328,-0.160824
155,-0.00319183,-0.159184
156,-0.00199103,-0.157404
157,-0.000778356,-0.155481
158,0.000438359,-0.153411
159,0.00165096,-0.151191
160,0.00285099,-0.148818
161,0.00402973,-0.146291
162,0.00517825,-0.143608
163,0.00628741,-0.140769
164,0.00734791,-0.137774
165,0.00835035,-0.134622
166,0.00928524,-0.131315
167,0.0101431,-0.127854
168,0.0109143,-0.124241
169,0.0115895,-0.12048
170,0.0121593,-0.116574
171,0.0126143,-0.112527
172,0.0129456,-0.108343
173,0.0131442,-0.104027
174,0.0132014,-0.0995864
175,0.013109,-0.0950265
176,0.0128588,-0.0903543
177,0.0124431,-0.0855773
178,0.0118548,-0.0807035
179,0.0110868,-0.0757414
180,0.0101327,-0.0706997
